group,session,agent,kind,hand,street,prompt_tokens,total_tokens,cost
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,14,,2871,11651,0.027009300000000003
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,15,preflop,1838,34923,0.05359875
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,15,,3033,31899,0.10875359999999999
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,16,preflop,1848,6779,0.02277675
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,16,,3043,13039,0.03328605
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,17,preflop,1884,19804,0.0379146
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,17,,3137,28294,0.08379645000000001
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,18,preflop,1975,7123,0.0219636
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,18,,3245,17092,0.03529275
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,19,preflop,2064,7724,0.02560905
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,19,,3357,21686,0.050973899999999996
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,20,preflop,2032,7490,0.0231882
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,20,,3372,19774,0.043821299999999994
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,21,preflop,2016,7670,0.0261684
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,21,,3378,30739,0.0503559
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,22,preflop,2040,2157,0.009402750000000001
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,22,,3449,17899,0.035958449999999996
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,23,preflop,2073,9658,0.0191634
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,23,,3540,39431,0.09511065
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,24,preflop,2096,7940,0.0255324
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,24,,3585,18637,0.0381072
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,25,preflop,2115,24575,0.05225625
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,25,,3664,32511,0.08948474999999999
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,26,preflop,2154,8035,0.0254073
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,26,,3727,19314,0.03917085
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,27,preflop,2177,10350,0.0212367
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,27,,3810,16942,0.0478092
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,28,preflop,2201,8430,0.027738899999999997
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,28,,3857,15893,0.039348
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,29,preflop,2218,36238,0.0654579
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,29,,3985,56852,0.13054275
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,30,preflop,2169,8717,0.030208050000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,30,,3930,23399,0.05185365
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,31,preflop,2198,24943,0.045135449999999994
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,31,,4019,50587,0.13076115000000002
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,32,preflop,2261,9049,0.030021899999999997
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,32,,4108,21124,0.04313895
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,33,preflop,2286,26298,0.048148949999999996
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,33,,4191,63905,0.12878055
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,34,preflop,2355,9316,0.0309801
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,34,,4291,17574,0.04362525
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,35,preflop,2342,9156,0.028411199999999998
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,35,,4301,23692,0.05495895
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,36,preflop,2372,9310,0.028480200000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,36,,4377,26404,0.058263600000000006
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,37,preflop,2339,9363,0.030896550000000002
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,37,,4365,32433,0.056662950000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,38,preflop,2170,8785,0.02824335
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,38,,4243,26100,0.05640479999999999
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,39,preflop,2150,26276,0.05349225
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,39,,4284,42457,0.062244150000000005
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,40,preflop,1965,8495,0.02872935
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,40,,4120,20629,0.03926445
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,41,preflop,2063,8589,0.02755125
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,41,,4241,25765,0.053289
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,42,preflop,2053,8674,0.028692
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,42,,4278,21273,0.04016955
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,43,preflop,2073,25953,0.05019975000000001
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,43,,4358,19851,0.0586614
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,44,preflop,2068,9071,0.0321315
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,44,,4373,32840,0.0575067
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,45,preflop,2086,26311,0.0493281
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,45,,4450,43699,0.06552075
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,46,preflop,2086,8819,0.027794400000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,46,,4475,22119,0.04147635
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,47,preflop,2114,9145,0.030990300000000005
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,47,,4526,26305,0.049320300000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,48,preflop,1810,8403,0.031101600000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,48,,4269,20623,0.036363599999999996
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,49,preflop,1866,24886,0.050515050000000006
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,49,,4385,16897,0.038030999999999995
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,50,preflop,1859,8785,0.032792550000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,50,,4403,21090,0.0363462
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,51,,4443,39391,0.0582801
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,52,preflop,1884,8989,0.03370755
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,52,,4499,10711,0.029523900000000002
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,53,preflop,1900,26058,0.053718
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,53,,4538,36465,0.0794934
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,54,preflop,1926,8945,0.03171015
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,54,,4597,22087,0.03864825
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,55,preflop,1937,25424,0.04317435
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,55,,4669,19312,0.051268799999999996
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,56,preflop,1961,8970,0.02873565
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,56,,4716,22704,0.040207650000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,57,,4757,28756,0.0576594
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,58,preflop,1970,9337,0.0329946
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,58,,4794,23065,0.04088145
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,59,preflop,1985,26900,0.04703415000000001
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,59,,4867,31248,0.0539673
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,60,preflop,1904,8988,0.029562300000000003
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,60,,4814,22913,0.0394416
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,61,preflop,1934,9058,0.029316299999999997
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,61,,4866,28795,0.0562827
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,62,preflop,1935,9289,0.03264285
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,62,,4913,23407,0.0404568
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,63,preflop,1952,26872,0.04742145
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,63,,4991,40249,0.08630039999999999
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,64,preflop,1944,9187,0.029641800000000003
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,64,,5012,23877,0.0414519
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,65,preflop,1983,27828,0.051201750000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,65,,5109,58280,0.11684295000000001
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,66,preflop,1981,9670,0.034621650000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,66,,5136,24537,0.042920400000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,67,,5177,24566,0.042390300000000006
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,68,preflop,1990,9624,0.03159435
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,68,,5215,24805,0.04311
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,69,preflop,2007,28561,0.0496332
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,69,,5291,35135,0.07113435
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,70,preflop,2004,9754,0.03196605
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,70,,5319,19863,0.04328235
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,71,preflop,2043,28936,0.04831215
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,71,,5416,36101,0.0711585
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,72,preflop,2048,9952,0.032050499999999996
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,72,,5448,25883,0.045140400000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,73,preflop,2071,30056,0.05510235000000001
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,73,,5530,34274,0.05487555
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,74,preflop,2023,10234,0.034848000000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,74,,5512,26090,0.04507935
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,75,preflop,2042,10046,0.0321312
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,75,,5554,31828,0.05961795
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,76,preflop,1999,10366,0.03840705
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,76,,5556,26184,0.044739
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,77,preflop,2026,10255,0.03495015
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,77,,5606,26338,0.044746799999999996
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,78,preflop,2008,10342,0.035653500000000005
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,78,,5635,26486,0.045033000000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,79,preflop,2017,29971,0.049623600000000004
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,79,,5710,39881,0.07447575
treatment,fullhistory-vs-akg-1,llm-akg-durable,decision,80,preflop,2026,10485,0.03513765
treatment,fullhistory-vs-akg-1,llm-akg-durable,update,80,,5759,27095,0.0463929
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,1,preflop,1353,10165,0.0156132
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,1,,1941,13191,0.0383367
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,2,preflop,1459,3795,0.01231005
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,2,,2050,13048,0.0297513
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,3,preflop,1539,24582,0.044379150000000006
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,3,,2212,25051,0.08556345000000001
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,4,preflop,1677,4650,0.01385295
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,4,,2332,11623,0.02925825
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,5,preflop,1735,5681,0.01890285
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,5,,2390,23047,0.06550410000000001
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,6,preflop,1766,5351,0.017873399999999998
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,6,,2483,17933,0.042312600000000006
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,7,preflop,1811,5579,0.01960815
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,7,,2532,17498,0.04326165
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,8,preflop,1869,5644,0.017401800000000002
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,8,,2614,23972,0.0431391
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,9,preflop,1932,5896,0.0179382
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,9,,2676,24084,0.0566553
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,10,preflop,1957,6069,0.0182082
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,10,,2726,24745,0.04432350000000001
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,11,preflop,2012,17795,0.031416599999999996
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,11,,2817,41053,0.0934386
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,12,preflop,2099,6782,0.0218208
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,12,,2902,28222,0.06319725000000001
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,13,preflop,2151,6883,0.02060265
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,13,,2951,27751,0.06352935
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,14,preflop,2173,7116,0.0219855
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,14,,2999,16560,0.03666015
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,15,,3054,13441,0.03559229999999999
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,16,preflop,2267,7633,0.024207450000000002
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,16,,3115,23140,0.0481767
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,17,,3192,17599,0.03950715
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,18,preflop,2365,8009,0.025133100000000002
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,18,,3235,15658,0.049109400000000004
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,19,,3297,18187,0.04132500000000001
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,20,preflop,2462,8445,0.02602845
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,20,,3351,18819,0.043630800000000004
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,21,preflop,2504,25217,0.04332570000000001
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,21,,3431,31189,0.07160055000000001
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,22,preflop,2481,8831,0.029637900000000002
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,22,,3386,19399,0.04645874999999999
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,23,preflop,2588,26511,0.04616445
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,23,,3528,33493,0.07861185
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,24,preflop,2636,9116,0.02734815
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,24,,3568,16551,0.0478023
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,25,preflop,2712,28326,0.05172465
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,25,,3676,40347,0.09740685
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,26,preflop,2750,9685,0.02945985
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,26,,3704,21260,0.051809850000000005
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,27,preflop,2831,30470,0.05853285
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,27,,3820,43337,0.10745265000000001
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,28,preflop,2845,10046,0.029473350000000002
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,28,,3820,21816,0.052892850000000005
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,29,preflop,2824,31125,0.060507000000000005
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,29,,3835,71850,0.12955395
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,30,preflop,2967,3042,0.012249
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,30,,3969,23032,0.0574821
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,31,preflop,3057,10977,0.032761950000000005
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,31,,4059,43007,0.10196025
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,32,preflop,3134,11417,0.03526005
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,32,,4158,24212,0.06113025
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,33,preflop,3194,34980,0.0589224
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,33,,4256,32931,0.09716265000000002
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,34,preflop,3267,12010,0.0378237
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,34,,4314,25647,0.06665985
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,35,,4397,45865,0.08905545000000001
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,36,preflop,3292,12141,0.03668745
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,36,,4359,25533,0.0652995
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,37,preflop,3349,37697,0.06578519999999999
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,37,,4453,51229,0.10325955
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,38,preflop,3358,12494,0.03822225
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,38,,4448,42569,0.09207150000000003
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,39,preflop,3459,3583,0.014829000000000002
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,39,,4551,29955,0.0868902
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,40,preflop,3455,13124,0.0436251
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,40,,4567,26633,0.0681387
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,41,preflop,3487,39806,0.0695619
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,41,,4636,50491,0.1003347
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,42,preflop,1708,7624,0.025314750000000004
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,42,,2844,11336,0.0253281
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,43,,2838,14266,0.025710600000000004
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,44,preflop,1704,7773,0.0255948
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,44,,2860,14522,0.026940149999999996
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,45,preflop,1735,23074,0.0448923
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,45,,2928,25466,0.0432402
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,46,preflop,1751,7923,0.025871400000000003
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,46,,2930,15006,0.02799405
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,47,preflop,1779,8072,0.026716049999999998
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,47,,2958,34192,0.0689829
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,48,preflop,1734,8206,0.0286338
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,48,,2940,15692,0.0299388
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,49,preflop,1774,23331,0.0408249
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,49,,3015,30406,0.060771
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,50,preflop,1738,8109,0.026490000000000003
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,50,,2965,15112,0.02800665
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,51,preflop,1751,35399,0.06278385
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,51,,3014,37601,0.07595805
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,52,preflop,1765,8335,0.026951850000000003
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,52,,3015,11902,0.026321999999999998
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,53,preflop,1775,24542,0.04429665
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,53,,3061,23832,0.05091465
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,54,preflop,1795,8538,0.027879600000000004
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,54,,3068,15636,0.029323799999999997
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,55,preflop,1799,25383,0.04615695
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,55,,3105,26590,0.0443481
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,56,preflop,1838,8925,0.02982375
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,56,,3133,15977,0.03048525
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,57,preflop,1866,26250,0.04755705
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,57,,3197,27199,0.045466950000000006
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,58,preflop,1842,8955,0.03001245
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,58,,3158,16327,0.03184935
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,59,preflop,1857,26014,0.04633845
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,59,,3207,14935,0.0453441
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,60,preflop,1868,9007,0.029116500000000003
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,60,,3204,12962,0.0303093
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,61,preflop,1882,26681,0.04745895
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,61,,3256,29062,0.04958535
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,62,preflop,1919,9290,0.0304518
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,62,,3280,17098,0.03388875
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,63,preflop,1934,27991,0.051471600000000006
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,63,,3330,23654,0.0439077
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,64,preflop,1962,9604,0.032560950000000005
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,64,,3344,17429,0.034881300000000004
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,65,preflop,1990,9925,0.035254350000000004
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,65,,3372,17338,0.0339324
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,66,preflop,1990,10083,0.03667935
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,66,,3395,17514,0.0344811
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,67,preflop,2019,29479,0.05520195
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,67,,3457,27048,0.05520795
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,68,preflop,1726,9067,0.030168900000000002
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,68,,3152,15579,0.027368400000000005
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,69,preflop,1726,26496,0.0465573
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,69,,3189,32335,0.0543429
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,70,preflop,1734,9317,0.031821300000000004
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,70,,3183,15820,0.0281466
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,71,,3190,15448,0.02616375
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,72,preflop,1720,9614,0.0347946
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,72,,3190,15906,0.0285276
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,73,preflop,1757,9646,0.0331107
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,73,,3225,16307,0.030544799999999997
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,74,preflop,1765,9634,0.032081849999999995
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,74,,3257,16161,0.02869515
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,75,preflop,1766,9763,0.0335409
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,75,,3259,21377,0.03655965
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,76,preflop,1780,9841,0.03395385
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,76,,3292,16382,0.02959275
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,77,preflop,1808,9982,0.03426225
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,77,,3322,16657,0.03066375
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,78,preflop,1796,9928,0.033471150000000005
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,78,,3331,16468,0.029359800000000002
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,79,,3340,16917,0.0296535
treatment,fullhistory-vs-akg-2,llm-akg-durable,decision,80,preflop,1798,10214,0.03584175
treatment,fullhistory-vs-akg-2,llm-akg-durable,update,80,,3355,16577,0.0294657
control,akg-vs-fullhistory-1,llm-fullhistory,decision,2,preflop,524,4714,0.01224885
control,akg-vs-fullhistory-1,llm-fullhistory,decision,4,preflop,774,2223,0.0079785
control,akg-vs-fullhistory-1,llm-fullhistory,decision,6,preflop,958,970,0.0030540000000000003
control,akg-vs-fullhistory-1,llm-fullhistory,decision,8,preflop,1128,3307,0.0087405
control,akg-vs-fullhistory-1,llm-fullhistory,decision,10,preflop,1331,3917,0.01032765
control,akg-vs-fullhistory-1,llm-fullhistory,decision,11,preflop,1469,8465,0.017344650000000003
control,akg-vs-fullhistory-1,llm-fullhistory,decision,12,preflop,1575,1587,0.006084
control,akg-vs-fullhistory-1,llm-fullhistory,decision,14,preflop,1748,1756,0.00667275
control,akg-vs-fullhistory-1,llm-fullhistory,decision,16,preflop,1917,11241,0.023017799999999998
control,akg-vs-fullhistory-1,llm-fullhistory,decision,18,preflop,2140,2152,0.00820275
control,akg-vs-fullhistory-1,llm-fullhistory,decision,20,preflop,2313,2321,0.0087915
control,akg-vs-fullhistory-1,llm-fullhistory,decision,22,preflop,2482,24307,0.0412635
control,akg-vs-fullhistory-1,llm-fullhistory,decision,24,preflop,2723,8091,0.021177750000000002
control,akg-vs-fullhistory-1,llm-fullhistory,decision,26,preflop,2927,17301,0.0352893
